2025-05-01,5:45,"Everglades Trail, FL"
2025-05-08,5:42,"Pier 60, Clearwater, FL"
2025-05-15,5:40,"Lake Eola Park, Orlando, FL"
2025-05-22,5:38,"South Beach Boardwalk, Miami, FL"
2025-06-01,5:30,"Central Park, New York, NY"
2025-06-08,5:29,"National Mall, Washington D.C."
2025-06-15,5:31,"Millennium Park, Chicago, IL"
2025-06-22,5:33,"Red Rocks Park, Morrison, CO"
2025-07-04,6:00,"Freedom Square, Philadelphia, PA"
2025-07-11,6:05,"Belle Isle Park, Detroit, MI"
2025-07-18,6:10,"Zilker Park, Austin, TX"
2025-07-25,6:15,"Mountain Peak Trail, CO"
2025-08-01,6:22,"Golden Gate Park, San Francisco, CA"
2025-08-08,6:26,"Discovery Park, Seattle, WA"
2025-08-15,6:30,"River Walk, San Antonio, TX"
2025-08-22,6:35,"Fiedler Field, Boston, MA"
2025-09-01,6:45,"Piedmont Park, Atlanta, GA"
2025-09-15,6:55,"Forest Park, St. Louis, MO"
2025-10-01,7:10,"Balboa Park, San Diego, CA"
2025-10-15,7:25,"City Park, New Orleans, LA"